road,hour,day_of_week,is_weekend,weather,incidents,congestion_pct
Ziya Bünyadov,15,5,1,Qarlı,0,84
Heydər Əliyev,13,0,0,Açıq,0,53
Zərdabi,18,4,0,Açıq,0,87
İstiqlaliyyət,15,2,0,Yağışlı,0,51
Neftçilər,5,2,0,Qarlı,0,62
Babək,8,1,0,Açıq,2,100
İstiqlaliyyət,22,0,0,Yağışlı,1,71
Qara Qarayev,21,3,0,Dumanlı,0,24
Neftçilər,17,3,0,Yağışlı,0,81
Tbilisi,13,2,0,Qarlı,0,69
Tbilisi,2,6,1,Yağışlı,0,33
Ziya Bünyadov,0,5,1,Yağışlı,1,56
Neftçilər,20,4,0,Dumanlı,0,79
Atatürk,1,3,0,Qarlı,0,39
Atatürk,4,5,1,Açıq,0,21
Zərdabi,4,5,1,Dumanlı,0,28
Zərdabi,22,0,0,Açıq,2,64
Tbilisi,7,1,0,Dumanlı,0,93
Heydər Əliyev,14,5,1,Yağışlı,0,57
Neftçilər,3,2,0,Açıq,0,25
Rəşid Behbudov,14,4,0,Açıq,1,58
Atatürk,19,2,0,Dumanlı,0,84
Babək,19,2,0,Dumanlı,0,71
İstiqlaliyyət,6,4,0,Dumanlı,0,27
Rəşid Behbudov,1,4,0,Yağışlı,0,37
Atatürk,10,6,1,Açıq,0,42
İstiqlaliyyət,23,0,0,Dumanlı,0,37
Qara Qarayev,8,2,0,Açıq,0,65
Rəşid Behbudov,18,1,0,Dumanlı,1,90
İstiqlaliyyət,10,0,0,Yağışlı,0,47
Atatürk,11,0,0,Qarlı,0,75
Ziya Bünyadov,8,3,0,Dumanlı,0,80
Rəşid Behbudov,18,2,0,Qarlı,0,89
Babək,12,5,1,Yağışlı,0,66
Zərdabi,23,5,1,Yağışlı,0,39
Heydər Əliyev,21,2,0,Açıq,1,41
İstiqlaliyyət,6,5,1,Dumanlı,0,37
Ziya Bünyadov,6,3,0,Qarlı,0,66
Heydər Əliyev,17,6,1,Qarlı,0,71
Tbilisi,0,1,0,Qarlı,1,68
Rəşid Behbudov,16,0,0,Qarlı,2,87
Qara Qarayev,22,0,0,Yağışlı,0,37
Ziya Bünyadov,12,0,0,Dumanlı,0,60
Neftçilər,23,1,0,Açıq,0,11
Zərdabi,17,4,0,Yağışlı,0,92
Babək,22,4,0,Yağışlı,1,69
Heydər Əliyev,11,5,1,Açıq,0,47
Tbilisi,1,0,0,Yağışlı,0,30
İstiqlaliyyət,12,2,0,Yağışlı,0,56
İstiqlaliyyət,18,4,0,Qarlı,0,100
Babək,17,6,1,Yağışlı,0,60
Ziya Bünyadov,6,5,1,Dumanlı,0,42
Heydər Əliyev,7,1,0,Açıq,0,76
Zərdabi,9,1,0,Açıq,0,81
Babək,7,0,0,Açıq,1,84
Zərdabi,3,0,0,Açıq,0,18
Rəşid Behbudov,16,6,1,Qarlı,0,74
Atatürk,12,3,0,Açıq,0,29
Heydər Əliyev,20,3,0,Yağışlı,0,87
İstiqlaliyyət,20,2,0,Qarlı,0,100
Neftçilər,12,3,0,Açıq,0,22
Ziya Bünyadov,13,2,0,Qarlı,1,97
Zərdabi,14,0,0,Açıq,1,65
Zərdabi,19,3,0,Dumanlı,0,79
Qara Qarayev,15,5,1,Açıq,1,63
Rəşid Behbudov,1,6,1,Dumanlı,0,38
Ziya Bünyadov,20,4,0,Yağışlı,2,100
Tbilisi,0,1,0,Açıq,2,45
Atatürk,1,2,0,Dumanlı,0,23
Qara Qarayev,12,0,0,Yağışlı,0,61
Atatürk,19,4,0,Yağışlı,0,84
Heydər Əliyev,17,0,0,Açıq,0,76
Tbilisi,1,0,0,Qarlı,1,69
Heydər Əliyev,18,0,0,Açıq,0,54
İstiqlaliyyət,20,5,1,Qarlı,0,70
Ziya Bünyadov,11,2,0,Yağışlı,0,77
Heydər Əliyev,16,4,0,Yağışlı,2,100
Neftçilər,16,5,1,Qarlı,0,73
İstiqlaliyyət,15,4,0,Açıq,0,40
İstiqlaliyyət,12,5,1,Dumanlı,3,100
İstiqlaliyyət,3,2,0,Yağışlı,0,46
Heydər Əliyev,0,6,1,Açıq,0,10
Qara Qarayev,19,0,0,Qarlı,0,100
Ziya Bünyadov,7,0,0,Açıq,0,91
Heydər Əliyev,5,0,0,Açıq,0,16
Zərdabi,17,4,0,Yağışlı,0,83
İstiqlaliyyət,15,4,0,Qarlı,1,84
Atatürk,16,4,0,Açıq,0,38
Zərdabi,17,0,0,Dumanlı,1,100
Zərdabi,9,1,0,Qarlı,0,98
Heydər Əliyev,19,4,0,Açıq,0,72
Rəşid Behbudov,17,2,0,Açıq,2,100
Ziya Bünyadov,6,2,0,Yağışlı,0,54
Ziya Bünyadov,13,4,0,Açıq,0,46
Heydər Əliyev,20,2,0,Qarlı,0,100
Babək,3,0,0,Açıq,1,47
İstiqlaliyyət,22,2,0,Qarlı,1,71
İstiqlaliyyət,6,0,0,Yağışlı,0,48
Babək,14,6,1,Qarlı,0,55
Babək,5,2,0,Qarlı,0,43
Babək,22,5,1,Yağışlı,0,32
İstiqlaliyyət,14,2,0,Dumanlı,0,30
Tbilisi,0,6,1,Dumanlı,0,34
Heydər Əliyev,20,6,1,Açıq,1,56
İstiqlaliyyət,5,0,0,Yağışlı,1,64
Tbilisi,15,0,0,Dumanlı,1,83
Heydər Əliyev,17,4,0,Yağışlı,1,100
Atatürk,12,0,0,Qarlı,0,86
Ziya Bünyadov,7,6,1,Dumanlı,2,100
Atatürk,8,5,1,Açıq,1,50
Ziya Bünyadov,21,2,0,Dumanlı,0,44
İstiqlaliyyət,20,4,0,Yağışlı,0,80
Qara Qarayev,19,1,0,Dumanlı,0,80
İstiqlaliyyət,7,3,0,Dumanlı,0,70
Neftçilər,16,0,0,Açıq,0,29
Atatürk,16,5,1,Dumanlı,0,56
Zərdabi,19,5,1,Açıq,0,36
İstiqlaliyyət,10,1,0,Yağışlı,0,46
Zərdabi,12,1,0,Dumanlı,0,59
Tbilisi,2,5,1,Yağışlı,0,44
Rəşid Behbudov,18,1,0,Yağışlı,0,100
Babək,6,1,0,Dumanlı,1,53
Qara Qarayev,3,0,0,Dumanlı,0,27
Babək,20,6,1,Qarlı,1,71
Tbilisi,6,3,0,Yağışlı,0,43
Heydər Əliyev,7,1,0,Qarlı,0,94
Qara Qarayev,3,3,0,Dumanlı,0,29
Qara Qarayev,10,4,0,Dumanlı,0,56
İstiqlaliyyət,4,4,0,Açıq,0,15
Tbilisi,16,4,0,Yağışlı,1,95
Babək,19,3,0,Qarlı,0,94
Heydər Əliyev,5,4,0,Qarlı,0,52
Qara Qarayev,4,0,0,Yağışlı,1,58
Babək,8,2,0,Açıq,0,88
Qara Qarayev,5,2,0,Qarlı,0,63
Atatürk,19,0,0,Qarlı,0,93
Neftçilər,21,1,0,Yağışlı,0,39
Qara Qarayev,17,6,1,Dumanlı,0,42
Babək,14,0,0,Yağışlı,0,66
Zərdabi,23,3,0,Yağışlı,0,45
Tbilisi,17,6,1,Qarlı,0,67
Rəşid Behbudov,12,5,1,Dumanlı,0,61
Neftçilər,2,6,1,Yağışlı,0,48
Atatürk,19,2,0,Yağışlı,0,84
Zərdabi,13,1,0,Yağışlı,0,51
İstiqlaliyyət,6,3,0,Yağışlı,0,49
Babək,0,6,1,Açıq,0,22
Rəşid Behbudov,5,0,0,Dumanlı,2,68
Atatürk,7,6,1,Qarlı,0,64
İstiqlaliyyət,8,2,0,Açıq,1,90
Neftçilər,6,2,0,Dumanlı,0,30
Tbilisi,10,3,0,Yağışlı,0,70
Babək,6,3,0,Yağışlı,0,41
Rəşid Behbudov,0,5,1,Yağışlı,0,41
Tbilisi,22,6,1,Qarlı,1,74
Ziya Bünyadov,11,0,0,Dumanlı,1,81
Tbilisi,8,2,0,Dumanlı,1,98
Tbilisi,15,0,0,Qarlı,0,79
Heydər Əliyev,7,3,0,Yağışlı,0,83
Babək,9,6,1,Yağışlı,0,65
Neftçilər,13,6,1,Qarlı,0,84
Ziya Bünyadov,1,0,0,Qarlı,1,81
Zərdabi,12,3,0,Qarlı,0,66
Tbilisi,19,2,0,Dumanlı,0,91
Heydər Əliyev,1,1,0,Yağışlı,0,37
Rəşid Behbudov,4,5,1,Qarlı,0,60
Atatürk,13,3,0,Yağışlı,0,61
Ziya Bünyadov,5,3,0,Qarlı,0,60
Neftçilər,22,6,1,Dumanlı,2,77
Heydər Əliyev,10,4,0,Açıq,1,63
Tbilisi,22,3,0,Qarlı,1,63
Babək,23,6,1,Yağışlı,0,28
Zərdabi,8,4,0,Qarlı,1,100
Neftçilər,11,1,0,Dumanlı,0,38
İstiqlaliyyət,17,1,0,Yağışlı,0,100
Neftçilər,23,2,0,Açıq,0,27
Heydər Əliyev,7,5,1,Açıq,0,36
Rəşid Behbudov,23,3,0,Qarlı,0,41
Heydər Əliyev,1,4,0,Dumanlı,0,34
Tbilisi,1,2,0,Qarlı,1,71
Heydər Əliyev,5,0,0,Dumanlı,0,21
Neftçilər,14,5,1,Yağışlı,0,73
Rəşid Behbudov,14,2,0,Yağışlı,1,73
Babək,10,6,1,Yağışlı,0,70
İstiqlaliyyət,14,2,0,Yağışlı,0,54
Babək,1,0,0,Açıq,0,29
İstiqlaliyyət,9,1,0,Qarlı,0,100
Babək,15,0,0,Dumanlı,2,78
Zərdabi,10,6,1,Yağışlı,0,64
Atatürk,22,4,0,Açıq,1,47
Neftçilər,21,0,0,Qarlı,0,65
Babək,13,0,0,Qarlı,0,79
Babək,18,4,0,Yağışlı,0,81
Qara Qarayev,15,6,1,Yağışlı,1,79
Ziya Bünyadov,13,0,0,Qarlı,0,88
Heydər Əliyev,2,6,1,Dumanlı,2,89
Qara Qarayev,13,1,0,Qarlı,0,78
Babək,16,6,1,Açıq,0,30
Ziya Bünyadov,16,5,1,Açıq,0,58
Tbilisi,10,4,0,Yağışlı,0,74
Qara Qarayev,3,4,0,Yağışlı,1,46
Rəşid Behbudov,13,4,0,Dumanlı,0,46
Qara Qarayev,23,5,1,Qarlı,0,54
Qara Qarayev,16,1,0,Yağışlı,0,76
Heydər Əliyev,18,2,0,Dumanlı,1,100
Babək,19,5,1,Yağışlı,0,63
Atatürk,2,4,0,Dumanlı,0,44
İstiqlaliyyət,17,2,0,Qarlı,0,86
Rəşid Behbudov,13,1,0,Qarlı,0,77
Ziya Bünyadov,17,6,1,Yağışlı,1,98
Rəşid Behbudov,23,2,0,Qarlı,1,76
Qara Qarayev,7,2,0,Dumanlı,0,75
Qara Qarayev,19,0,0,Açıq,0,66
Heydər Əliyev,15,2,0,Dumanlı,0,44
Heydər Əliyev,22,2,0,Yağışlı,0,46
İstiqlaliyyət,15,0,0,Dumanlı,0,41
Babək,10,2,0,Yağışlı,1,80
İstiqlaliyyət,12,0,0,Qarlı,0,91
Babək,11,1,0,Yağışlı,0,49
Neftçilər,11,5,1,Yağışlı,0,58
Babək,19,4,0,Yağışlı,1,100
Ziya Bünyadov,9,3,0,Dumanlı,0,86
Atatürk,3,4,0,Yağışlı,0,41
Zərdabi,10,1,0,Qarlı,0,83
Neftçilər,8,2,0,Açıq,0,64
Ziya Bünyadov,2,0,0,Qarlı,1,83
Zərdabi,13,1,0,Dumanlı,0,37
Qara Qarayev,12,3,0,Dumanlı,0,56
Rəşid Behbudov,0,1,0,Dumanlı,0,25
Ziya Bünyadov,8,6,1,Açıq,0,42
Heydər Əliyev,3,4,0,Yağışlı,0,54
Heydər Əliyev,16,4,0,Dumanlı,0,57
Heydər Əliyev,17,6,1,Yağışlı,0,51
Babək,10,6,1,Qarlı,0,51
İstiqlaliyyət,7,1,0,Açıq,0,70
Neftçilər,9,0,0,Yağışlı,1,89
Atatürk,18,5,1,Qarlı,0,59
Neftçilər,23,1,0,Yağışlı,0,42
Heydər Əliyev,12,2,0,Yağışlı,1,84
Heydər Əliyev,18,2,0,Açıq,0,72
Ziya Bünyadov,21,4,0,Yağışlı,1,74
İstiqlaliyyət,20,6,1,Açıq,1,62
Ziya Bünyadov,11,3,0,Yağışlı,0,70
Neftçilər,18,2,0,Açıq,1,82
Babək,18,6,1,Açıq,0,29
Atatürk,1,2,0,Açıq,0,19
Ziya Bünyadov,15,2,0,Açıq,0,48
İstiqlaliyyət,23,3,0,Yağışlı,0,45
Tbilisi,20,0,0,Açıq,0,70
Zərdabi,0,3,0,Açıq,0,30
Rəşid Behbudov,3,2,0,Qarlı,0,61
Zərdabi,15,5,1,Dumanlı,0,41
Atatürk,9,2,0,Dumanlı,2,100
Rəşid Behbudov,4,5,1,Açıq,0,14
Ziya Bünyadov,7,6,1,Açıq,0,31
Heydər Əliyev,3,5,1,Dumanlı,2,60
Rəşid Behbudov,23,6,1,Yağışlı,1,58
Atatürk,23,5,1,Yağışlı,0,35
Ziya Bünyadov,8,5,1,Dumanlı,0,58
Heydər Əliyev,7,0,0,Dumanlı,0,76
Tbilisi,20,4,0,Qarlı,0,100
Heydər Əliyev,21,5,1,Dumanlı,0,43
Tbilisi,22,5,1,Yağışlı,1,56
Heydər Əliyev,23,6,1,Qarlı,1,66
Rəşid Behbudov,8,2,0,Qarlı,0,100
İstiqlaliyyət,8,3,0,Dumanlı,0,87
Babək,3,0,0,Yağışlı,0,47
Atatürk,4,1,0,Açıq,1,28
Qara Qarayev,11,2,0,Dumanlı,0,52
Ziya Bünyadov,19,0,0,Açıq,0,84
Heydər Əliyev,10,2,0,Dumanlı,1,67
Atatürk,12,1,0,Qarlı,0,70
Neftçilər,14,2,0,Yağışlı,0,62
Heydər Əliyev,18,3,0,Dumanlı,0,76
Babək,17,2,0,Açıq,0,83
Zərdabi,0,0,0,Açıq,0,17
Tbilisi,1,6,1,Qarlı,0,66
Tbilisi,0,0,0,Dumanlı,0,30
Neftçilər,12,4,0,Qarlı,0,79
Heydər Əliyev,8,5,1,Yağışlı,0,52
Babək,12,1,0,Yağışlı,0,60
Zərdabi,4,2,0,Dumanlı,0,31
Ziya Bünyadov,0,0,0,Qarlı,1,74
Zərdabi,19,1,0,Açıq,0,63
Qara Qarayev,15,6,1,Yağışlı,0,54
Ziya Bünyadov,4,4,0,Açıq,0,31
Rəşid Behbudov,17,4,0,Yağışlı,0,98
Zərdabi,1,5,1,Açıq,3,70
Zərdabi,11,1,0,Açıq,0,28
Babək,6,4,0,Açıq,0,21
Zərdabi,21,3,0,Yağışlı,0,42
Atatürk,17,2,0,Yağışlı,0,87
Babək,8,4,0,Qarlı,0,100
Ziya Bünyadov,23,2,0,Dumanlı,1,61
Heydər Əliyev,6,2,0,Dumanlı,0,27
Tbilisi,9,3,0,Dumanlı,0,80
Tbilisi,13,0,0,Açıq,0,45
Rəşid Behbudov,9,6,1,Açıq,0,36
Atatürk,20,6,1,Qarlı,0,60
Tbilisi,12,6,1,Dumanlı,0,67
Ziya Bünyadov,8,2,0,Açıq,1,100
Qara Qarayev,17,3,0,Yağışlı,1,100
Babək,19,3,0,Qarlı,0,100
Babək,10,0,0,Yağışlı,0,65
Rəşid Behbudov,18,2,0,Yağışlı,0,73
Ziya Bünyadov,15,0,0,Açıq,1,75
Neftçilər,23,6,1,Qarlı,0,50
Atatürk,10,2,0,Açıq,0,42
Rəşid Behbudov,10,4,0,Açıq,0,34
Qara Qarayev,8,0,0,Açıq,0,78
Babək,0,5,1,Qarlı,0,44
Atatürk,9,1,0,Qarlı,0,97
Atatürk,11,4,0,Yağışlı,0,64
Rəşid Behbudov,6,1,0,Qarlı,0,55
Zərdabi,15,4,0,Açıq,0,43
Babək,22,4,0,Açıq,1,41
Neftçilər,13,4,0,Dumanlı,0,47
Atatürk,19,3,0,Qarlı,0,99
İstiqlaliyyət,20,6,1,Qarlı,0,78
Neftçilər,17,2,0,Yağışlı,0,100
Tbilisi,22,0,0,Dumanlı,1,47
İstiqlaliyyət,20,3,0,Qarlı,0,98
Ziya Bünyadov,10,3,0,Açıq,0,49
Qara Qarayev,10,2,0,Dumanlı,0,59
Atatürk,20,2,0,Yağışlı,0,96
Tbilisi,1,1,0,Yağışlı,0,37
Neftçilər,20,5,1,Açıq,0,40
İstiqlaliyyət,18,5,1,Yağışlı,1,70
İstiqlaliyyət,10,5,1,Açıq,0,38
Tbilisi,9,4,0,Qarlı,0,81
İstiqlaliyyət,0,4,0,Qarlı,1,85
Ziya Bünyadov,15,6,1,Açıq,0,49
Ziya Bünyadov,8,2,0,Qarlı,0,100
Ziya Bünyadov,6,3,0,Qarlı,2,100
Rəşid Behbudov,0,6,1,Qarlı,0,54
Neftçilər,20,0,0,Yağışlı,0,73
Atatürk,6,6,1,Dumanlı,0,35
Neftçilər,19,5,1,Yağışlı,0,54
Ziya Bünyadov,22,1,0,Açıq,0,32
İstiqlaliyyət,18,1,0,Açıq,0,63
Neftçilər,19,2,0,Dumanlı,2,100
Rəşid Behbudov,23,4,0,Dumanlı,0,42
Neftçilər,0,4,0,Dumanlı,0,27
Ziya Bünyadov,17,4,0,Açıq,0,72
Neftçilər,1,1,0,Açıq,0,19
Tbilisi,18,2,0,Yağışlı,0,77
Ziya Bünyadov,18,5,1,Qarlı,0,80
Rəşid Behbudov,4,1,0,Yağışlı,0,40
Neftçilər,21,4,0,Qarlı,0,51
Qara Qarayev,4,6,1,Dumanlı,0,28
Zərdabi,3,5,1,Dumanlı,0,30
Neftçilər,15,3,0,Dumanlı,0,52
Atatürk,13,0,0,Dumanlı,0,59
Rəşid Behbudov,23,5,1,Açıq,0,20
Heydər Əliyev,2,3,0,Açıq,1,36
Ziya Bünyadov,21,6,1,Qarlı,0,66
Rəşid Behbudov,1,6,1,Qarlı,0,50
Atatürk,23,6,1,Yağışlı,1,74
Heydər Əliyev,21,1,0,Yağışlı,0,44
Atatürk,20,4,0,Qarlı,2,100
Tbilisi,13,6,1,Qarlı,0,89
Babək,21,1,0,Dumanlı,0,32
Babək,19,0,0,Yağışlı,0,100
Babək,14,3,0,Dumanlı,0,57
İstiqlaliyyət,8,4,0,Yağışlı,0,79
Ziya Bünyadov,16,1,0,Dumanlı,0,63
Zərdabi,21,2,0,Yağışlı,1,60
Rəşid Behbudov,16,1,0,Dumanlı,0,63
Tbilisi,20,0,0,Açıq,0,63
Babək,14,5,1,Açıq,0,46
Neftçilər,20,6,1,Qarlı,0,64
Babək,4,0,0,Qarlı,0,64
Ziya Bünyadov,15,6,1,Açıq,0,54
Neftçilər,7,3,0,Yağışlı,1,99
Rəşid Behbudov,17,3,0,Yağışlı,0,96
Ziya Bünyadov,23,4,0,Yağışlı,2,100
Heydər Əliyev,11,3,0,Yağışlı,0,60
Ziya Bünyadov,17,3,0,Qarlı,1,100
Rəşid Behbudov,15,6,1,Dumanlı,0,41
İstiqlaliyyət,15,4,0,Dumanlı,0,69
Rəşid Behbudov,15,0,0,Qarlı,0,79
İstiqlaliyyət,11,1,0,Qarlı,0,75
Neftçilər,12,4,0,Qarlı,0,82
Tbilisi,7,1,0,Açıq,0,78
Heydər Əliyev,13,5,1,Qarlı,0,68
Qara Qarayev,1,4,0,Yağışlı,0,41
Heydər Əliyev,22,1,0,Yağışlı,0,43
İstiqlaliyyət,20,6,1,Açıq,0,33
Qara Qarayev,14,2,0,Açıq,0,35
İstiqlaliyyət,12,1,0,Açıq,1,61
Heydər Əliyev,4,2,0,Qarlı,0,54
Atatürk,12,2,0,Yağışlı,0,72
Neftçilər,0,3,0,Dumanlı,0,32
Atatürk,9,3,0,Qarlı,2,100
Ziya Bünyadov,14,4,0,Dumanlı,0,80
Atatürk,21,0,0,Qarlı,0,53
Tbilisi,8,5,1,Qarlı,1,72
Heydər Əliyev,9,6,1,Açıq,0,44
Atatürk,12,1,0,Dumanlı,0,54
Tbilisi,19,2,0,Dumanlı,0,75
Qara Qarayev,4,5,1,Açıq,1,43
Heydər Əliyev,16,3,0,Yağışlı,1,62
Atatürk,2,3,0,Açıq,2,61
Neftçilər,13,2,0,Qarlı,0,59
Rəşid Behbudov,15,1,0,Qarlı,1,85
Qara Qarayev,8,5,1,Açıq,0,47
İstiqlaliyyət,10,1,0,Açıq,0,53
Zərdabi,19,5,1,Açıq,0,42
Babək,21,6,1,Yağışlı,0,41
Heydər Əliyev,18,2,0,Yağışlı,0,100
Ziya Bünyadov,3,2,0,Dumanlı,0,43
Ziya Bünyadov,14,6,1,Dumanlı,3,100
Qara Qarayev,1,5,1,Qarlı,0,49
Tbilisi,6,0,0,Açıq,0,18
Zərdabi,2,6,1,Qarlı,0,62
Zərdabi,20,5,1,Açıq,0,38
Neftçilər,22,3,0,Dumanlı,0,33
Ziya Bünyadov,19,3,0,Dumanlı,2,100
Atatürk,17,6,1,Yağışlı,0,59
Qara Qarayev,0,5,1,Dumanlı,0,32
Neftçilər,12,0,0,Dumanlı,0,68
Tbilisi,16,0,0,Dumanlı,0,47
Heydər Əliyev,16,6,1,Yağışlı,0,74
Babək,13,0,0,Dumanlı,0,56
Neftçilər,20,4,0,Yağışlı,0,82
Neftçilər,6,5,1,Yağışlı,1,59
Atatürk,8,5,1,Qarlı,1,74
Heydər Əliyev,5,4,0,Yağışlı,1,57
Qara Qarayev,6,0,0,Yağışlı,0,53
Zərdabi,6,3,0,Dumanlı,1,58
Zərdabi,21,1,0,Qarlı,0,51
Qara Qarayev,20,3,0,Yağışlı,0,84
Neftçilər,15,0,0,Yağışlı,2,99
Babək,0,1,0,Açıq,0,26
Neftçilər,11,0,0,Açıq,0,35
Tbilisi,3,0,0,Yağışlı,2,95
Heydər Əliyev,5,3,0,Açıq,0,26
Atatürk,13,4,0,Dumanlı,0,42
Atatürk,8,0,0,Dumanlı,0,72
Rəşid Behbudov,20,0,0,Yağışlı,0,88
İstiqlaliyyət,9,0,0,Açıq,0,73
Rəşid Behbudov,21,5,1,Açıq,0,24
Babək,18,3,0,Qarlı,0,94
İstiqlaliyyət,17,6,1,Açıq,0,34
Zərdabi,6,2,0,Qarlı,0,40
Neftçilər,16,3,0,Açıq,1,73
Zərdabi,0,5,1,Yağışlı,1,71
Ziya Bünyadov,23,2,0,Açıq,0,28
Rəşid Behbudov,8,2,0,Açıq,0,70
Neftçilər,11,2,0,Yağışlı,0,64
Atatürk,23,0,0,Açıq,2,58
Neftçilər,8,2,0,Dumanlı,0,91
Zərdabi,19,4,0,Yağışlı,1,100
Rəşid Behbudov,18,1,0,Qarlı,0,98
Babək,5,1,0,Açıq,0,12
Zərdabi,4,1,0,Qarlı,1,70
Ziya Bünyadov,23,1,0,Qarlı,1,74
Ziya Bünyadov,7,6,1,Yağışlı,0,52
Rəşid Behbudov,7,2,0,Dumanlı,0,77
Qara Qarayev,11,4,0,Dumanlı,1,62
Tbilisi,1,3,0,Yağışlı,0,41
İstiqlaliyyət,4,4,0,Dumanlı,2,66
Qara Qarayev,10,1,0,Dumanlı,1,75
Tbilisi,20,0,0,Dumanlı,0,92
Babək,20,0,0,Dumanlı,0,66
Neftçilər,3,6,1,Dumanlı,0,26
Qara Qarayev,6,6,1,Dumanlı,0,36
Qara Qarayev,13,2,0,Qarlı,2,100
Ziya Bünyadov,12,2,0,Yağışlı,0,71
Heydər Əliyev,8,6,1,Qarlı,0,57
Ziya Bünyadov,9,4,0,Yağışlı,0,100
Atatürk,9,3,0,Açıq,0,74
Neftçilər,7,3,0,Açıq,0,69
Tbilisi,11,5,1,Dumanlı,0,62
Babək,11,1,0,Dumanlı,0,64
Babək,22,6,1,Açıq,0,27
Atatürk,22,6,1,Dumanlı,0,29
Neftçilər,18,1,0,Qarlı,1,100
Atatürk,21,5,1,Dumanlı,0,40
Neftçilər,18,4,0,Dumanlı,0,77
Qara Qarayev,18,1,0,Qarlı,0,100
Tbilisi,2,4,0,Dumanlı,0,45
İstiqlaliyyət,13,0,0,Qarlı,0,66
Babək,19,3,0,Qarlı,0,100
Qara Qarayev,9,5,1,Yağışlı,1,80
Rəşid Behbudov,9,3,0,Açıq,2,100
Babək,17,2,0,Qarlı,0,100
Qara Qarayev,12,0,0,Dumanlı,0,55
Atatürk,17,6,1,Dumanlı,0,39
Babək,3,2,0,Qarlı,0,56
Qara Qarayev,22,2,0,Yağışlı,1,58
Heydər Əliyev,4,4,0,Qarlı,0,47
İstiqlaliyyət,19,4,0,Yağışlı,0,99
Zərdabi,10,3,0,Açıq,0,24
Qara Qarayev,19,2,0,Yağışlı,0,99
İstiqlaliyyət,23,5,1,Qarlı,1,55
İstiqlaliyyət,8,2,0,Yağışlı,0,100
Zərdabi,5,5,1,Yağışlı,0,48
Heydər Əliyev,21,0,0,Yağışlı,0,33
İstiqlaliyyət,8,3,0,Açıq,0,71
Neftçilər,8,3,0,Dumanlı,0,82
Atatürk,11,2,0,Açıq,0,44
Rəşid Behbudov,18,2,0,Dumanlı,0,64
Atatürk,10,3,0,Yağışlı,0,70
Atatürk,20,1,0,Açıq,0,84
Rəşid Behbudov,9,1,0,Yağışlı,1,100
Heydər Əliyev,13,2,0,Dumanlı,0,52
Qara Qarayev,12,0,0,Açıq,0,55
Babək,20,0,0,Açıq,0,79
İstiqlaliyyət,21,3,0,Açıq,0,19
Qara Qarayev,19,5,1,Yağışlı,0,59
Rəşid Behbudov,14,6,1,Qarlı,1,83
Neftçilər,4,3,0,Dumanlı,0,35
Heydər Əliyev,18,3,0,Qarlı,0,100
Atatürk,23,1,0,Dumanlı,0,28
Ziya Bünyadov,11,6,1,Yağışlı,0,76
Zərdabi,23,5,1,Açıq,0,17
Ziya Bünyadov,9,1,0,Qarlı,1,100
Qara Qarayev,4,3,0,Yağışlı,0,43
Babək,19,5,1,Açıq,0,39
Rəşid Behbudov,10,0,0,Açıq,3,91
Heydər Əliyev,8,3,0,Yağışlı,0,81
İstiqlaliyyət,15,2,0,Qarlı,0,84
İstiqlaliyyət,4,3,0,Açıq,0,28
Heydər Əliyev,11,1,0,Dumanlı,0,50
Qara Qarayev,0,5,1,Dumanlı,1,58
Rəşid Behbudov,9,4,0,Açıq,0,66
İstiqlaliyyət,2,0,0,Yağışlı,0,53
Babək,11,1,0,Açıq,0,45
Heydər Əliyev,3,1,0,Dumanlı,0,40
Heydər Əliyev,0,3,0,Açıq,1,50
Tbilisi,6,2,0,Qarlı,0,55
Tbilisi,1,0,0,Açıq,0,20
Babək,6,4,0,Dumanlı,0,41
Neftçilər,10,3,0,Dumanlı,0,58
Zərdabi,22,3,0,Açıq,0,28
Neftçilər,8,1,0,Açıq,0,55
Atatürk,22,1,0,Yağışlı,1,54
Qara Qarayev,11,3,0,Dumanlı,0,59
Zərdabi,13,6,1,Qarlı,1,88
Heydər Əliyev,2,4,0,Dumanlı,0,36
Tbilisi,9,0,0,Qarlı,0,99
Babək,3,2,0,Dumanlı,0,37
Babək,16,5,1,Qarlı,0,79
Tbilisi,5,6,1,Dumanlı,0,37
Zərdabi,12,6,1,Yağışlı,0,64
Ziya Bünyadov,3,5,1,Dumanlı,0,42
Ziya Bünyadov,18,5,1,Yağışlı,0,70
Zərdabi,16,0,0,Yağışlı,0,76
Atatürk,6,2,0,Qarlı,0,56
Qara Qarayev,1,3,0,Açıq,0,29
Ziya Bünyadov,4,5,1,Dumanlı,0,31
Atatürk,21,0,0,Dumanlı,1,54
Neftçilər,8,3,0,Qarlı,0,100
Zərdabi,17,0,0,Yağışlı,0,97
Heydər Əliyev,6,2,0,Yağışlı,0,45
Zərdabi,18,2,0,Yağışlı,1,100
Rəşid Behbudov,15,6,1,Dumanlı,0,55
Zərdabi,8,3,0,Qarlı,0,80
Qara Qarayev,1,6,1,Qarlı,0,63
Heydər Əliyev,13,4,0,Dumanlı,2,92
Atatürk,9,1,0,Dumanlı,0,76
Tbilisi,7,3,0,Dumanlı,0,76
Qara Qarayev,22,1,0,Dumanlı,0,36
Ziya Bünyadov,4,5,1,Yağışlı,0,55
Zərdabi,20,6,1,Qarlı,0,59
Babək,12,0,0,Yağışlı,0,61
Ziya Bünyadov,2,4,0,Dumanlı,0,39
